Other_flagellates,,Ciliates,,Rotifers,,Nauplii,,Copepodites,,Cladocerans,,Meroplankton,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.327823876924384,1.2125612837879154,24.48879998287637,2.005905928606271,63.47695869985176,3.61347877394721,93.85793174329778,6.818766547606649,274.9529125033946,14.368864057839609,289.68342663567563,5.1581345985654625,95.81950574265323,2.501449042554318
4.031711891369198,1.377772713233557,41.15090888394368,7.336049276786202,79.97316066380594,6.021463606315584,97.60982996978541,7.536101968996799,231.96494759612997,29.020089210751603,275.81751773192036,6.040226466567135,97.41247027456596,3.5273428530473865
4.432756076034399,1.3285307222882308,63.51927572007913,9.102650995381385,135.6302954795974,9.027797405497209,110.73672461766472,7.009786136144064,286.003234461184,28.77581796310449,,,143.3636836170297,5.809550426803734
5.608625704513451,1.374971841591263,,,124.3106319218909,5.940945300564355,132.37648874522603,4.211017957999292,319.0245143956991,32.47972134886065,,,207.59595459748692,3.909113822565298
,,,,,,,,347.7415400522065,25.446453796830298,,,203.1494893795067,3.086685801145216
,,,,,,,,432.7101662597485,32.65176865321486,,,222.7934413206478,2.366790276190174
,,,,,,,,550.9811994753941,33.79184600470459,,,242.17062939916255,2.5594763770458604
,,,,,,,,862.4424537217793,83.68270097734289,,,306.63627893286235,3.7760448504723474
,,,,,,,,373.4345602161975,16.315124632445595,,,430.8047181574251,3.8915607411243345
,,,,,,,,375.1899652643076,14.036506224090575,,,261.8489595868101,5.42670308750796
,,,,,,,,405.1128474569721,14.751172227397547,,,,
,,,,,,,,442.7315920425802,14.637886849540195,,,,
,,,,,,,,497.9831798047401,14.838308039265097,,,,
,,,,,,,,549.5632252930407,15.04323938768963,,,,
